DATE,DAILY_COUNT,MEAN_TEMP,TOTAL_RAIN,TOTAL_SNOW
2014-04-15,1577,5.6,8.6,0.4
2014-04-16,3180,-3.4,0.0,0.0
2014-04-17,5852,2.4,0.0,0.0
2014-04-18,5325,6.3,0.0,0.0
2014-04-19,6031,5.1,0.4,0.0
2014-04-20,6058,5.8,0.0,0.0
2014-04-21,6839,13.3,1.2,0.0
2014-04-22,4729,9.9,10.4,0.0
2014-04-23,8624,7.7,0.0,0.0
2014-04-24,10576,7.3,0.0,0.0
2014-04-25,11851,5.8,0.0,0.0
2014-04-26,2906,5.6,11.4,0.0
2014-04-27,5904,6.4,2.0,0.0
2014-04-28,10669,7.1,0.0,0.0
2014-04-29,12238,11.1,2.8,0.0
2014-04-30,5905,7.9,30.8,0.0
2014-05-01,8981,11.1,8.2,0.0
2014-05-02,12359,10.6,0.6,0.0
2014-05-03,9228,12.1,0.8,0.0
2014-05-04,3807,9.7,19.4,0.0
2014-05-05,12206,9.9,0.0,0.0
2014-05-06,14950,9.6,0.0,0.0
2014-05-07,16482,9.5,0.0,0.0
2014-05-08,17143,11.0,0.0,0.0
2014-05-09,14628,14.8,4.2,0.0
2014-05-10,14110,17.9,4.4,0.0
2014-05-11,13252,16.7,0.0,0.0
2014-05-12,17446,15.8,0.0,0.0
2014-05-13,15750,13.4,1.4,0.0
2014-05-14,17598,19.3,0.0,0.0
2014-05-15,19045,22.9,0.0,0.0
2014-05-16,8642,16.3,29.8,0.0
2014-05-17,11385,11.9,10.8,0.0
2014-05-18,14015,11.5,0.0,0.0
2014-05-19,14190,14.7,0.0,0.0
2014-05-20,19517,15.8,0.0,0.0
2014-05-21,20172,17.1,0.0,0.0
2014-05-22,14021,16.0,1.0,0.0
2014-05-23,17568,15.8,0.0,0.0
2014-05-24,17292,16.4,0.0,0.0
2014-05-25,16948,17.3,4.6,0.0
2014-05-26,13859,19.6,3.6,0.0
2014-05-27,9240,12.8,4.2,0.0
2014-05-28,14333,12.1,0.6,0.0
2014-05-29,20476,13.3,0.0,0.0
2014-05-30,18633,17.3,2.0,0.0
2014-05-31,17985,14.7,0.0,0.0
2014-06-01,17441,17.5,0.0,0.0
2014-06-02,20298,23.1,0.0,0.0
2014-06-03,13181,23.6,22.0,0.0
2014-06-04,19847,17.7,0.2,0.0
2014-06-05,17146,15.2,0.6,0.0
2014-06-06,19583,18.0,0.0,0.0
2014-06-07,19545,20.4,0.0,0.0
2014-06-08,16959,21.3,0.0,0.0
2014-06-09,19917,23.6,0.0,0.0
2014-06-10,19328,20.2,0.4,0.0
2014-06-11,16544,18.6,10.4,0.0
2014-06-12,6827,15.4,26.2,0.0
2014-06-13,8330,18.4,41.4,0.0
2014-06-14,13765,17.2,1.4,0.0
2014-06-15,16225,18.6,0.0,0.0
2014-06-16,20082,18.1,0.0,0.0
2014-06-17,19885,20.6,23.4,0.0
2014-06-18,20808,21.2,2.0,0.0
2014-06-19,23603,19.6,0.0,0.0
2014-06-20,21204,16.9,0.0,0.0
2014-06-21,16144,16.3,0.0,0.0
2014-06-22,16424,17.7,0.0,0.0
2014-06-23,19344,20.1,0.0,0.0
2014-06-24,6017,20.6,40.0,0.0
2014-06-25,18202,21.1,0.2,0.0
2014-06-26,22762,21.7,0.0,0.0
2014-06-27,22242,21.7,0.0,0.0
2014-06-28,18528,22.8,0.0,0.0
2014-06-29,17092,24.9,0.0,0.0
2014-06-30,18590,26.3,0.0,0.0
2014-07-01,16015,27.4,0.0,0.0
2014-07-02,21418,25.5,0.0,0.0
2014-07-03,19773,21.7,0.6,0.0
2014-07-04,20298,19.7,3.2,0.0
2014-07-05,18473,21.1,0.0,0.0
2014-07-06,16425,23.1,0.0,0.0
2014-07-07,12873,21.5,10.0,0.0
2014-07-08,18613,24.8,7.0,0.0
2014-07-09,20499,20.6,0.0,0.0
2014-07-10,22179,18.7,0.0,0.0
2014-07-11,22347,19.4,0.0,0.0
2014-07-12,18076,21.7,0.0,0.0
2014-07-13,8302,21.8,11.0,0.0
2014-07-14,20394,20.9,0.0,0.0
2014-07-15,17022,19.8,2.8,0.0
2014-07-16,22732,20.7,0.0,0.0
2014-07-17,21568,18.7,0.2,0.0
2014-07-18,21666,20.1,0.0,0.0
2014-07-19,18747,22.0,0.0,0.0
