DATE,MEAN_TEMP,TOTAL_RAIN,TOTAL_SNOW,SPD_OF_MAX_GUST
2022-06-01,15.4,1.8,0.0,38.0
2022-06-02,16.6,0.0,0.0,36.0
2022-06-03,20.1,0.8,0.0,36.0
2022-06-04,17.3,0.0,0.0,57.0
2022-06-05,15.4,0.0,0.0,47.0
2022-06-06,18.2,0.0,0.0,33.0
2022-06-07,21.3,13.4,0.0,47.0
2022-06-08,20.2,3.0,0.0,44.0
2022-06-09,15.5,13.4,0.0,34.0
2022-06-10,17.6,0.4,0.0,49.0
2022-06-11,19.1,0.0,0.0,38.0
2022-06-12,20.0,0.0,0.0,38.0
2022-06-13,19.2,0.0,0.0,44.0
2022-06-14,20.4,0.0,0.0,32.0
2022-06-15,19.5,0.0,0.0,
2022-06-16,23.1,39.6,0.0,50.0
2022-06-17,18.7,7.6,0.0,76.0
2022-06-18,12.6,3.6,0.0,48.0
2022-06-19,15.8,0.0,0.0,49.0
2022-06-20,18.0,0.0,0.0,35.0
2022-06-21,17.1,8.0,0.0,32.0
2022-06-22,19.6,38.0,0.0,53.0
2022-06-23,16.9,30.6,0.0,38.0
2022-06-24,21.2,0.0,0.0,
2022-06-25,23.4,0.0,0.0,
2022-06-26,25.9,0.0,0.0,44.0
2022-06-27,20.5,0.0,0.0,57.0
2022-06-28,20.2,0.0,0.0,36.0
2022-06-29,20.4,9.2,0.0,55.0
2022-06-30,18.3,0.0,0.0,
